合约名称,商品编号,商品名称,货币编号,货币名称,账面跳点价值,最小变动单位,商品类型,市场编号,市场名称,昨日结算,合约年月,进价单位,商品ID,交易所商品代码,合约到期日,最后交易日,最大下单量,合约大小,首次通知日,期货商品ID,期货合约,执行价,现货商品ID,期权类型,警示通知日,电子交易截至日,最小变动单位2,最小变动单位转换点,期货商品,现货商品
马棕油2403,FCPO,马棕油,MYR,马币,25,1,F,BMD,BMD,3969,202403,1,154,  ,2024/3/15,2024/3/15,1000,25,2024/3/15,0,,0,0,,2024/3/8,2024/3/13,0,0,,
马棕油2404,FCPO,马棕油,MYR,马币,25,1,F,BMD,BMD,3904,202404,1,154,  ,2024/4/15,2024/4/15,1000,25,2024/4/15,0,,0,0,,2024/4/8,2024/4/11,0,0,,
马棕油2405,FCPO,马棕油,MYR,马币,25,1,F,BMD,BMD,3853,202405,1,154,  ,2024/5/15,2024/5/15,1000,25,2024/5/15,0,,0,0,,2024/5/8,2024/5/13,0,0,,
马棕油2406,FCPO,马棕油,MYR,马币,25,1,F,BMD,BMD,3794,202406,1,154,  ,2024/6/14,2024/6/14,1000,25,2024/6/14,0,,0,0,,2024/6/7,2024/6/12,0,0,,
马棕油2407,FCPO,马棕油,MYR,马币,25,1,F,BMD,BMD,3736,202407,1,154,  ,2024/7/15,2024/7/15,1000,25,2024/7/15,0,,0,0,,2024/7/8,2024/7/11,0,0,,
马棕油2408,FCPO,马棕油,MYR,马币,25,1,F,BMD,BMD,3689,202408,1,154,  ,2024/8/15,2024/8/15,1000,25,2024/8/15,0,,0,0,,2024/8/8,2024/8/13,0,0,,
马棕油2409,FCPO,马棕油,MYR,马币,25,1,F,BMD,BMD,3647,202409,1,154,  ,2024/9/13,2024/9/13,1000,25,2024/9/13,0,,0,0,,2024/9/6,2024/9/11,0,0,,
马棕油2410,FCPO,马棕油,MYR,马币,25,1,F,BMD,BMD,3624,202410,1,154,  ,2024/10/15,2024/10/15,1000,25,2024/10/15,0,,0,0,,2024/10/8,2024/10/11,0,0,,
马棕油2411,FCPO,马棕油,MYR,马币,25,1,F,BMD,BMD,3614,202411,1,154,  ,2024/11/15,2024/11/15,1000,25,2024/11/15,0,,0,0,,2024/11/8,2024/11/13,0,0,,
马棕油2412,FCPO,马棕油,MYR,马币,25,1,F,BMD,BMD,3619,202412,1,154,  ,2024/12/13,2024/12/13,1000,25,2024/12/13,0,,0,0,,2024/12/6,2024/12/11,0,0,,
马棕油2501,FCPO,马棕油,MYR,马币,25,1,F,BMD,BMD,3627,202512,1,154,  ,2025/12/31,2025/12/31,1000,25,2025/12/31,0,,0,0,,2025/12/31,2025/12/31,0,0,,
马棕油2502,FCPO,马棕油,MYR,马币,25,1,F,BMD,BMD,3642,202512,1,154,  ,2025/12/31,2025/12/31,1000,25,2025/12/31,0,,0,0,,2025/12/31,2025/12/31,0,0,,
富时吉隆坡指数2402,FKLI,富时吉隆坡指数,MYR,马币,25,0.5,F,BMD,BMD,1552,202402,10,323,  ,2024/2/29,2024/2/29,0,50,2024/2/29,0,,0,0,,2024/2/22,2024/2/27,0,0,,
