合约名称,商品编号,商品名称,货币编号,货币名称,账面跳点价值,最小变动单位,商品类型,市场编号,市场名称,昨日结算,合约年月,进价单位,商品ID,交易所商品代码,合约到期日,最后交易日,最大下单量,合约大小,首次通知日,期货商品ID,期货合约,执行价,现货商品ID,期权类型,警示通知日,电子交易截至日,最小变动单位2,最小变动单位转换点,期货商品,现货商品
白银看跌2405 2190,SO_P,白银看跌,USD,美元,5,0.001,O,CME,CME,0,202404,1000,262,  ,2024/4/25,2024/4/25,0,5000,2024/4/25,43,2405,21.9,43,F,2024/4/25,2024/4/25,0,0,SI,SI
白银看跌2405 2195,SO_P,白银看跌,USD,美元,5,0.001,O,CME,CME,0,202404,1000,262,  ,2024/4/25,2024/4/25,0,5000,2024/4/25,43,2405,21.95,43,F,2024/4/25,2024/4/25,0,0,SI,SI
白银看跌2405 2200,SO_P,白银看跌,USD,美元,5,0.001,O,CME,CME,0.3,202404,1000,262,  ,2024/4/25,2024/4/25,0,5000,2024/4/25,43,2405,22,43,F,2024/4/25,2024/4/25,0,0,SI,SI
白银看跌2405 2205,SO_P,白银看跌,USD,美元,5,0.001,O,CME,CME,0,202404,1000,262,  ,2024/4/25,2024/4/25,0,5000,2024/4/25,43,2405,22.05,43,F,2024/4/25,2024/4/25,0,0,SI,SI
白银看跌2405 2210,SO_P,白银看跌,USD,美元,5,0.001,O,CME,CME,0,202404,1000,262,  ,2024/4/25,2024/4/25,0,5000,2024/4/25,43,2405,22.1,43,F,2024/4/25,2024/4/25,0,0,SI,SI
白银看跌2405 2215,SO_P,白银看跌,USD,美元,5,0.001,O,CME,CME,0,202404,1000,262,  ,2024/4/25,2024/4/25,0,5000,2024/4/25,43,2405,22.15,43,F,2024/4/25,2024/4/25,0,0,SI,SI
白银看跌2405 2220,SO_P,白银看跌,USD,美元,5,0.001,O,CME,CME,0,202404,1000,262,  ,2024/4/25,2024/4/25,0,5000,2024/4/25,43,2405,22.2,43,F,2024/4/25,2024/4/25,0,0,SI,SI
白银看跌2405 2225,SO_P,白银看跌,USD,美元,5,0.001,O,CME,CME,0.494,202404,1000,262,  ,2024/4/25,2024/4/25,0,5000,2024/4/25,43,2405,22.25,43,F,2024/4/25,2024/4/25,0,0,SI,SI
白银看跌2405 2230,SO_P,白银看跌,USD,美元,5,0.001,O,CME,CME,0.394,202404,1000,262,  ,2024/4/25,2024/4/25,0,5000,2024/4/25,43,2405,22.3,43,F,2024/4/25,2024/4/25,0,0,SI,SI
白银看跌2405 2235,SO_P,白银看跌,USD,美元,5,0.001,O,CME,CME,0,202404,1000,262,  ,2024/4/25,2024/4/25,0,5000,2024/4/25,43,2405,22.35,43,F,2024/4/25,2024/4/25,0,0,SI,SI
白银看跌2405 2240,SO_P,白银看跌,USD,美元,5,0.001,O,CME,CME,0,202404,1000,262,  ,2024/4/25,2024/4/25,0,5000,2024/4/25,43,2405,22.4,43,F,2024/4/25,2024/4/25,0,0,SI,SI
